name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
update=1
user=pinyin.usr
assist=mb/yong.txt 2
code_a1=p..
[DATA]
a 啊 阿 呵 腌 嗄 锕 吖
aba 阿爸
adou 阿斗
aduwu 阿堵物
adidasi 阿迪达斯
ae 啊哦
aerbaniya 阿尔巴尼亚
aersitong 阿尔斯通
aerbeisi 阿尔卑斯
aerjiliya 阿尔及利亚
afei 阿飞
afuhan 阿富汗
age 阿哥
agenting 阿根廷
agong 阿公
ahong 阿訇
ai 爱 挨 哀 矮 碍 埃 癌 艾 唉 哎 皑 蔼 隘 暧 霭 捱 嗳 瑷 嫒 锿 嗌 砹 剀 毐 叆 欸
aiai 皑皑
aibola 埃博拉
aibushishou 爱不释手
aiche 爱车
aicheng 爱称
aichi 爱吃
aichou 哀愁
aida 挨打
aidai 爱戴
aidao 哀悼
aidehua 爱德华
aidong 挨冻
aie 挨饿
aierlan 爱尔兰
aifu 爱抚
aigangjingye 爱岗敬业
aige 挨个
aigezi 矮个子
aiguan 爱管
aiguo 爱国
aiguozhe 爱国者
aiguozhuyi 爱国主义
aihao 爱好 哀号
aihaozhe 爱好者
aihen 爱恨
aihu 爱护
aiji 埃及
aijiaaihu 挨家挨户
aikan 爱看
aikexue 爱科学
ailaodong 爱劳动
aile 爱了 挨了 矮了
ailian 爱恋
ailibuli 爱理不理
aima 挨骂
aimei 暧昧 爱美 艾美
aimeijiang 艾美奖
aimin 爱民
aimonengzhu 爱莫能助
aimu 爱慕
ainv 爱女
aipang 矮胖
aipangzi 矮胖子
aiqi 爱妻
aiqing 爱情
aiqiu 哀求
airen 爱人
aisaiebiya 埃塞俄比亚
aishang 爱上 哀伤
aishaniya 爱沙尼亚
aishen 爱神
aishi 碍事
aishou 碍手
aisi 哀思
aita 爱她
aitan 哀叹
aiting 爱听
aitong 哀痛
aiwujiwu 爱屋及乌
aixi 爱惜
aixiao 矮小
aixibao 癌细胞
aixin 爱心
aixinjueluo 爱新觉罗
aiya 唉呀
aiyan 碍眼
aiyinsitan 爱因斯坦
aiyo 哎哟
aiyou 哎呦 爱幼
aiyu 碍于
aiyuan 哀怨
aiyue 哀乐
aizeng 爱憎
aizhe 挨着 爱着 碍着
aizheng 癌症
aizi 爱子 矮子 艾滋
aizibing 艾滋病
aizuguo 爱祖国
ajimide 阿基米德
alabo 阿拉伯
alaboshuzi 阿拉伯数字
ali 阿里
alibaba 阿里巴巴
alianqiu 阿联酋
alishan 阿里山
ama 阿妈
aman 阿曼
amaoagou 阿猫阿狗
amusitedan 阿姆斯特丹
an 按 安 案 俺 暗 岸 谙 黯 鞍 氨 庵 桉 鹌 胺 铵 揞 犴 埯 唵 垵 广
anaerhan 阿娜尔汗
anan 暗暗
ananjingjing 安安静静
anbao 安保
anbian 岸边
anbili 按比例
anbingbudong 按兵不动
anbu 暗补
anbujiuban 按步就班
ancang 暗藏
ancha 安插
anchang 暗娼
anchu 暗处
anchun 鹌鹑
anci 按此
ancun 暗忖
andan 暗淡
andao 按倒
andaoer 安道尔
ande 俺的
andi 暗地
andili 暗地里
anding 安定
andong 按动
andongni 安东尼
anduchencang 暗度陈仓
andun 安顿
anduwannian 安度晚年
anfa 案发
anfan 案犯
anfang 暗访 安放
anfen 安分
anfenshouji 安分守己
anfu 安抚
ang 昂 肮 盎
angela 安哥拉
anggui 昂贵
angran 盎然
angshou 昂首
