name=郑码
key=abcdefghijklmnopqrstuvwxyz
len=4
match=0
wildcard=?
assist=] mb/pinyin.txt
code_e2=p11+p12+p21+p22
code_e3=p11+p21+p22+p31
code_a4=p11+p21+p31+p41
[DATA]
a 一 再
aa 一下
aaam 万无一失
aaav 可歌可泣
aaax 天下无难事
aacf 百无聊赖
aacm 无可奉告
aadj 无可挽回
aadt 殊死搏斗
aaeu 平型关
aaez 一开始
aafk 可可西里山
aafy 百无禁忌
aaga 一天天
aagk 无可厚非
aagl 平顶山
aagn 无可奈何 无恶不作
aahk 一天到晚
aai 亍
aaid 天下事
aaim 副政委
aaiy 一下子
aajj 一再嘱咐
aako 死于非命
aakr 一无是处
aaks 无可非议
aalr 无可置疑
aanl 无副作用
aano 一百分
aanr 无与伦比
aanu 一百米
aape 一无所获
aapg 一无所有
aapm 一无所知
aard 无可比拟
aarr 形形色色
aars 无可争辩
aasx 无可辩驳
aats 无形资产 无政府主义
aatt 干干净净 无政府状态
aauu 万平米
aavg 万万没有想到
aavi 下一步
aavn 下一代
aavo 下一个
aavt 再一次
aavv 万丈深渊
aawo 百万富翁
aawv 万恶之源
aaxb 开天辟地
aayn 下一阶段
ab 一起
abas 无动于衷
abbc 平均增长速度
abbt 平均工资
abby 天塌地陷
abco 平均寿命
abdf 平均指标
abdu 丁二烯
abdz 一二级
abgh 无巧不成书
abgm 一去不复返
abis 开工率
abjf 吞云吐雾
abka 平均水平
abks 平均日产量
abku 一夫当关
ablw 开工典礼
abmf 与去年相比
abml 与去年同期相比
abmm 平均每年增长
abmv 平均利润 平均气温
abnm 一鼓作气
abnw 无地自容
abon 正规化
aboo 歌功颂德
abpw 无功受禄
abre 无功负荷
abrn 平均值
abrs 一元论
abru 平均数
abrz 一专多能
absm 一元方程 无土育秧
abss 平均主义
abuv 一塌糊涂
abuw 画地为牢
abvb 死去活来
abwt 平均速度
abxr 一块儿
abyd 副教授
abzf 歼击机
abzi 万元以上
abzo 平均收入
ac 平静
acab 可耻下场
acam 天王星
acan 无毒副作用
acbm 开玩笑
acbr 天长地久
acdc 副理事长
acdl 万寿山
acgw 天理不容
achd 更长的
acra 正三角形
acrf 列表框
acsm 无理方程
acuo 一班人
acvt 干球温度
ad 于
adaf 无拘无束
adag 再接再厉
adah 一事无成
adat 万事开头难
adbz 可持续
adcn 刑事责任
adea 亚的斯亚贝巴
adeu 下拉菜单
adgb 开拓者 万事大吉
adgc 干扰素
adgd 百折不挠
adgg 百挑不厌
adgi 一拥而上
adgs 一挥而就
adkn 可提供
adkv 于是
adky 一揽子
adl 盂
adlk 盂
adlz 盂县
admk 无事生非
adnr 万事俱备
ados 开拓创新
adpm 可拆卸
adqe 亚热带
adqk 正投影
adql 刑事犯罪
adqm 一投手
adsg 一捅就破
adsm 无的放矢
adss 刑事诉讼法
adsv 可撤消
aduw 开拓精神
advn 可撤消信用证
advv 于
adw 迂
adwc 一技之长
adwg 可控硅
adxo 一拍即合
ady 邘
adym 一把手
adzn 可持续化
adzs 万事如意
adzx 形势发展
adzz 可持续发展 可持续发展战略
ae 开
aeah 天真无邪
aear 干裂 与世无争
aeb 型
aebb 开封 瓦莱塔
aebh 开城
aebi 开工 开赴
aebk 开来
aebm 开埠
aebt 天南地北
aebx 下基层 形声
aeby 刑场
aebz 开动
aecc 万古长青
aecd 开球
aecm 与世长辞
aeco 开春
aed 干
aedc 副董事长
aedg 干扰 开拓
aedj 刑事 干事
aedq 形势
aedx 开据
aeeh 刊载
aeek 开幕
aeen 开花
aeeq 刑期
aeer 干警
aees 开荒
aeet 麉
aeex 开支
aefb 开票
aefe 干枯
aeff 开禁
aefg 干杯
aefo 开枪
aefp 型板
aefq 开机
aefr 干酪
aefs 干校
aeg 顸
aegk 下落不明
aegn 开原
aego 顸 頇
aegs 形态
aegx 形码
aeha 百花盛开
aehb 形式
aehe 开车
aehv 形成
aeib 武警战士
aeij 开战
aeja 型号 刊号 开口
aejl 死胡同
aejr 开路
aejs 干咳
aejx 干吗
aek 刊
aeka 干旱
aekb 型
aekd 刊 刑
aekf 干果
aekg 百慕大
aekh 开幕式
aekl 开敞
aekm 开幕辞
aekq 开明
aeks 开幕词
aeku 开业 开凿
aekv 开水
aelg 一直在
aelo 开具
aelr 开罗
aels 刑罚
aelw 开幕典礼
aelz 开县
aema 一落千丈
aemj 政协委员
aemn 豆蔻年华
aemo 攼
aemr 刊物
aemy 天花乱坠
aemz 干系
aene 开花期
aenf 形体 天花板
aeni 雃
aenk 无花果
aenm 万花筒
aeno 开价
aenr 开化
aent 百花奖
aenu 天花粉
aeoa 无期徒刑
aeob 开会
aeoj 政协全国委员会
aeop 开饭
aeor 干馏
aeos 开往
aeox 刑律
aeoy 开创
aep 形
aepd 形
aepf 开采
aepi 开钻
aepk 开销
aepl 开盘 型钢
aept 开镰
aeqr 干脆
aequ 开脱
aerc 百花争艳
aerj 形象
aerz 鳱 鳽
aesb 列支敦士登
aesj 干部
aesk 开课
aesl 开端
aesm 开放
aesq 开设
aess 百花齐放
aesu 形旁
aesw 一劳永逸
aesx 开朗 形变
aesy 刑讯 武警部队 开方
aetg 形状 开头
aetk 干冰
aetl 开门
aetn 干瘦 干瘪
aetr 干净
aetv 开阔
aety 开庭
aeug 开关
aeuh 干烧
aeuj 干燥
aeuk 开单
aeul 覝
aeuo 开火 干粉 烎
aeur 开炮
aeus 干粮
aeuv 天真烂漫
aeuw 开炉
aeuy 开卷
aevb 刑法
aeve 开满 万古流芳
aevg 开源
aevh 干渠
aevi 干涉
aevj 干涸
aevk 干渴
aevm 干活
aevs 干流
aevt 天南海北
aevv 开 天真活泼
aevw 开学
aew 迀
aewb 开窍 开远
aewe 开赛
aewj 开启
aewm 开户 哥斯达黎加
aewo 形容
aews 形迹
aewu 开道
aewx 开通
aewz 开心
aexa 刊登
aexb 干劲 开垦
aexe 开展
aexj 开辟 干群
aexx 干预
aexy 开局
aey 邢 邗
aeyc 开张
aeyd 开刀 开导
aeye 哥萨克
aeyk 开阳
aeyo 开办 开除
aeyz 与世隔绝
aezh 干线 干练 开练
aezj 邢台
aezv 开发
aezw 下世纪初
aezz 开始
af 末
afam 一本万利
afaz 一本正经
afbb 平整土地
afbu 瓦杜兹
afbz 干酵母
afdm 严格控制
afee 夏枯草
afeq 末期
afey 末节
affd 严格要求
affe 无霜期
affk 末梢
afgm 可想而知
afgs 一概而论
afjf 哥本哈根
afjg 一整套
afjr 唜
afka 末日
afmc 严格管理
afmq 丙酰胺
afnh 末代
afno 无机化合物
afns 末位
afnv 无机化学
afof 亚松森
afon 两极分化
afoo 膥
afpa 末后
afqb 无机盐
afqm 一枝独秀
afqu 无机肥料
afsl 末端
aftr 残酷斗争
afug 两相情愿
afv 末
afvv 正本清源 末
afwf 无本之木
afwt 无权过问
afww 严格遵守
afxm 末尾
afyv 末了
ag 无
agad 无牵无挂
agae 无形 幵
agag 天天
agai 天下
agaj 蚕豆
agau 吞灭 天平
agav 无一
agbb 天坛
agbh 亚太地区
agbo 顶替
agbv 天地
agbx 无声 吞声
agca 天王
agci 无耻
agcj 天职
agck 无理
agcr 无聊
agcu 顶班
agcx 无瑕
agcy 两面三刀
agcz 无毒
agd 天
agdb 严厉打击
agdd 一大批
agdi 一大步
agdj 顶事
agdm 天才 无托
agdn 一大片
agdq 天热
agds 顶撞
age 栞
agef 栞
ageh 顶芽
agei 蚕茧
agej 无辜
agel 天真
agen 天花
ageq 无期
agey 郉
agfb 亚硝酸盐
agfg 无需
agfj 无赖
agfm 天桥
agfp 顶板
agfq 无机
agfr 顶格
agfs 无核
agfu 顶楼
agfx 无权
agfy 无极
aggc 副厂长
aggg 无奇不有
aggi 无不 蝅
aggv 天有不测风云
aggz 丽而不媚
aghb 更确切地说
aghe 天车
aghp 天堑
aghw 正确轨道
agi 蚕
agib 下不来
agii 蠺
agij 顶点
agik 可不是
agil 画龙点睛
agim 蚕蛾
agin 顶不住
agiv 天上 形而上学
agix 蚕蛹
agiz 再不能
agj 吞
agjb 吞吐 无味
agjc 天国
agji 顶嘴
agjj 吞咽 平面图
agjm 吞噬
agjp 平面镜
agjr 平面角
agk 昋
agka 无题
agkc 无非
agkd 天时
agkf 亚硝酸
agkg 顶尖
agkh 无畏
agkq 天明 奣
agku 无业
agkv 无水 天水 沗
agkw 无常 天堂
agkx 无暇
agla 天赋
aglg 亚历山大
aglk 无罪 顶罪
agll 死不瞑目 天山
aglo 天内
aglr 顶峰
agls 更不用说
aglv 无用
agmc 天生
agmh 天鹅
agmj 无知 蚕种
agmk 无利
agmm 天敌 无敌
agmp 一大笔钱
agmr 天鹅
agmt 更大程度上
agmy 天气
agmz 无私
agnf 天体
agnk 无偿
agnl 天仙
agno 天价 无价
agns 顶住
ago 顶
agoa 天命
agod 无人 吞入
agoe 死有余辜
agoo 无从
agox 吞食 蚕食
agoy 正确领导
agpe 天镇
agpg 无须
agpk 无锡
agqn 平面几何
agqo 顶风
agqy 吞服
agr 无
agrc 正确处理
agrg 天然
agrj 无名 天象
agrl 顶角
agrm 无疑
agrr 无比
agrs 正确率
agrt 天冬
agru 正确性
agrv 顶多
agry 天色 无色
agrz 鴌
agsa 无证
agsf 亚硫酸
agsj 无误 顶部
agsk 无意 无谓 天意
agsl 顶端
agsn 正确方向
agso 无论 无效 天文
agsq 无望
agss 正确认识
agsv 形态学
agsy 无方
agtf 天麻
agtg 顶头
agtn 天府
agto 天冷
agtr 无底 天资
agtv 无度
agu 忝
aguc 无情
ague 吞并
agug 无关 一厢情愿
aguj 无烟
agum 天性 无性
agun 无愧 下不为例
aguo 无益
aguw 无恙
aguz 无数
agvb 无法
agvg 天涯
agvv 吞没
agvx 天津
agvy 无梁 天池
agw 迗
agwb 天空
agwc 无害
agwj 无遗 天宫 副研究员
agwl 无视
agwn 天窗
agwo 正在进行
agws 一面之交
agwu 天灾
agwy 天边 无边
agwz 无心
agxd 两码事
agxx 蚕桑
agya 天子
agye 无异
agyl 武夷山
agym 无力
agyo 天险
agyx 无限
agyy 正确引导 万有引力
agzh 天线 无线
agzq 无能
agzs 无妨
agzw 无缝
agzy 顶级 无级
agzz 无缘
ah 形成
ahag 夏威夷
ahan 一式两份
ahau 武平
ahaz 正式开始
ahba 武士
ahbd 弐
ahbh 武城
ahbi 形式上
ahbn 一切工作
ahbo 武夫
ahby 武功 武都
ahda 武打
ahec 列车长
ahej 列车员
aher 武警
ahey 武艺
ahff 武林
